reading_id,timestamp,system_id,collected_by,collection_method,conductivity,ph,total_hardness,m_alkalinity,chloride,free_halogen,inhibitor_ppm,iron,sulfite,nitrite,microbio_dipslide,units,notes
RD-00170,2026-03-19 09:00,SYS-0014,Jenn Fowler,field,2839.0,8.8,365.0,,208.0,0.73,14.7,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00171,2026-03-19 09:45,SYS-0015,Jenn Fowler,field,2890.0,8.6,325.0,,187,0.64,15.3,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00172,2026-03-19 11:10,SYS-0016,Jenn Fowler,field,2919.0,8.8,433.0,,252.0,0.76,15.8,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00173,2026-03-19 11:45,SYS-0046,Dale Hardy,field,3046.0,11.2,0,,,,,0.2,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00174,2026-03-19 12:50,SYS-0018,Jenn Fowler,field,2718.0,9.7,,,,,245.0,0.19,,,,cond=uS/cm;moly=ppm,
RD-00175,2026-03-19 13:00,SYS-0026,Dale Hardy,field,1614.0,8.3,25.9,,214.0,0.51,11.3,,,,,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RD-00176,2026-03-19 14:20,SYS-0017,Jenn Fowler,field,2985.0,8.4,476.0,,259.0,0.46,17.3,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00177,2026-03-19 14:30,SYS-0025,Dale Hardy,field,3206.0,11.1,0.3,682.0,,,,0.38,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00178,3/20/26 0:00,SYS-0014,BMS export,bms,2.84,8.7,,,,,,,,,,cond=mS/cm,
RD-00179,3/20/26 0:00,SYS-0015,BMS export,bms,3.1,,,,,,,,,,,cond=mS/cm,
RD-00180,3/20/26 0:00,SYS-0016,BMS export,bms,2.85,8.6,,,,,,,,,,cond=mS/cm,
RD-00181,3/20/26 0:00,SYS-0017,BMS export,bms,2.92,,,,,,,,,,,cond=mS/cm,
RD-00182,2026-03-20 08:45,SYS-0012,Kyle Bishop,field,1612.0,8.7,442.0,,194.0,0.82,9.4,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00183,2026-03-20 09:30,SYS-0041,Jenn Fowler,field,3066.0,11.0,0.5,,,,,0.29,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00184,2026-03-20 09:30,SYS-0042,Jenn Fowler,field,1529.0,8.8,403.0,,200.0,0.37,11.2,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00185,2026-03-20 12:00,SYS-0011,Kyle Bishop,field,2858.0,11.3,0.7,609.0,,,,0.17,41.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00186,2026-03-20 15:00,SYS-0013,Kyle Bishop,field,2975.0,8.9,,,,,256.0,0.22,,,,cond=uS/cm;moly=ppm,
RD-00187,3/21/26 0:00,SYS-0014,BMS export,bms,2.78,8.7,,,,,,,,,,cond=mS/cm,
RD-00188,3/21/26 0:00,SYS-0015,BMS export,bms,2.98,8.7,,,,,,,,,,cond=mS/cm,
RD-00189,3/21/26 0:00,SYS-0016,BMS export,bms,2.93,,,,,,,,,,,cond=mS/cm,
RD-00190,3/21/26 0:00,SYS-0017,BMS export,bms,2.99,8.3,,,,,,,,,,cond=mS/cm,
RD-00191,3/22/26 0:00,SYS-0014,BMS export,bms,2.87,8.6,,,,,,,,,,cond=mS/cm,
RD-00192,3/22/26 0:00,SYS-0015,BMS export,bms,2.94,,,,,,,,,,,cond=mS/cm,
RD-00193,3/22/26 0:00,SYS-0016,BMS export,bms,2.97,,,,,,,,,,,cond=mS/cm,
RD-00194,3/22/26 0:00,SYS-0017,BMS export,bms,2.89,,,,,,,,,,,cond=mS/cm,
RD-00195,3/23/26 0:00,SYS-0014,BMS export,bms,2.63,,,,,,,,,,,cond=mS/cm,
RD-00196,3/23/26 0:00,SYS-0015,BMS export,bms,2.85,,,,,,,,,,,cond=mS/cm,
RD-00197,3/23/26 0:00,SYS-0016,BMS export,bms,2.95,8.8,,,,,,,,,,cond=mS/cm,
RD-00198,3/23/26 0:00,SYS-0017,BMS export,bms,2.82,,,,,,,,,,,cond=mS/cm,
RD-00199,2026-03-23 08:00,SYS-0033,Kyle Bishop,field,1430.0,10.2,0,334.0,,,,0.39,44.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00200,2026-03-23 09:50,SYS-0004,Jenn Fowler,field,1471.0,8.7,411.0,,171.0,0.69,9.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00201,2026-03-23 11:50,SYS-0005,Jenn Fowler,field,2869.0,9.2,,,,,,0.11,,933.0,,cond=uS/cm;nitrite=ppm,
RD-00202,2026-03-23 12:00,SYS-0002,Jenn Fowler,field,2754.0,11.1,0.7,569.0,,,,0.05,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00203,2026-03-23 13:50,SYS-0001,Jenn Fowler,field,3161.0,11.2,0.6,616.0,,,,0.21,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00204,2026-03-23 15:30,SYS-0034,Kyle Bishop,field,1545.0,8.3,412.0,,81.0,0.73,9.9,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00205,2026-03-23 15:40,SYS-0003,Jenn Fowler,field,1724.0,8.8,447.0,,171.0,0.4,9.9,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00206,2026-03-23 15:45,SYS-0032,Kyle Bishop,field,1272.0,10.1,0.5,,,,,0.3,45.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00207,3/24/26 0:00,SYS-0014,BMS export,bms,2.93,8.7,,,,,,,,,,cond=mS/cm,
RD-00208,3/24/26 0:00,SYS-0015,BMS export,bms,2.73,8.8,,,,,,,,,,cond=mS/cm,
RD-00209,3/24/26 0:00,SYS-0016,BMS export,bms,3.0,8.7,,,,,,,,,,cond=mS/cm,
RD-00210,3/24/26 0:00,SYS-0017,BMS export,bms,2.93,8.8,,,,,,,,,,cond=mS/cm,
RD-00211,2026-03-24 08:10,SYS-0007,Marcus Webb,field,1618.0,8.7,409.0,,168.0,0.91,11.1,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00212,2026-03-24 10:30,SYS-0043,Marcus Webb,field,1557.0,8.7,458.0,,146.0,0.53,11.8,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00213,2026-03-24 11:15,SYS-0044,Marcus Webb,field,3058.0,9.4,,,,,292.0,0.14,,,,cond=uS/cm;moly=ppm,
RD-00214,2026-03-24 14:00,SYS-0008,Marcus Webb,field,2645.0,9.7,,,,,,0.07,,877.0,,cond=uS/cm;nitrite=ppm,
RD-00215,2026-03-24 15:00,SYS-0006,Marcus Webb,field,3189.0,11.2,0.3,663.0,,,,0.32,23.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00216,3/25/26 0:00,SYS-0014,BMS export,bms,2.83,8.7,,,,,,,,,,cond=mS/cm,
RD-00217,3/25/26 0:00,SYS-0015,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00218,3/25/26 0:00,SYS-0016,BMS export,bms,2.95,9.0,,,,,,,,,,cond=mS/cm,
RD-00219,3/25/26 0:00,SYS-0017,BMS export,bms,3.09,,,,,,,,,,,cond=mS/cm,
RD-00220,2026-03-25 08:00,SYS-0027,Tomas Rivera,field,2828.0,11.1,0,639.0,,,,0.33,42.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00221,2026-03-25 08:00,SYS-0049,Tomas Rivera,field,1674.0,8.8,301.0,,218.0,0.19,9.9,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00222,2026-03-25 09:10,SYS-0028,Tomas Rivera,field,1474.0,8.5,293.0,,151.0,0.53,9.5,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00223,2026-03-25 13:40,SYS-0050,Tomas Rivera,field,1518.0,8.2,477.0,,223.0,0.35,11.1,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00224,2026-03-25 15:50,SYS-0029,Tomas Rivera,field,3185.0,9.3,,,,,240.0,0.06,,,,cond=uS/cm;moly=ppm,
RD-00225,3/26/26 0:00,SYS-0014,BMS export,bms,2.72,,,,,,,,,,,cond=mS/cm,
RD-00226,3/26/26 0:00,SYS-0015,BMS export,bms,3.08,,,,,,,,,,,cond=mS/cm,
RD-00227,3/26/26 0:00,SYS-0016,BMS export,bms,2.94,8.5,,,,,,,,,,cond=mS/cm,
RD-00228,3/26/26 0:00,SYS-0017,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00229,2026-03-26 08:40,SYS-0014,Jenn Fowler,field,2971.0,8.6,530.0,,256.0,0.38,14.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00230,2026-03-26 09:40,SYS-0018,Jenn Fowler,field,3120.0,9.5,,,,,224.0,0.08,,,,cond=uS/cm;moly=ppm,
RD-00231,2026-03-26 10:50,SYS-0016,Jenn Fowler,field,2863.0,8.6,439.0,,226.0,0.39,13.1,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00232,2026-03-26 12:30,SYS-0015,Jenn Fowler,field,2710.0,8.7,418.0,,201,0.61,13.3,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00233,2026-03-26 13:30,SYS-0017,Jenn Fowler,field,2833.0,8.7,550.0,,203.0,0.41,15.1,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00234,3/27/26 0:00,SYS-0014,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00235,3/27/26 0:00,SYS-0015,BMS export,bms,2.91,8.9,,,,,,,,,,cond=mS/cm,
RD-00236,3/27/26 0:00,SYS-0016,BMS export,bms,3.09,8.5,,,,,,,,,,cond=mS/cm,
RD-00237,3/27/26 0:00,SYS-0017,BMS export,bms,2.98,8.9,,,,,,,,,,cond=mS/cm,
RD-00238,2026-03-27 09:40,SYS-0013,Kyle Bishop,field,2876.0,9.5,,,,,226.0,0.14,,,,cond=uS/cm;moly=ppm,
RD-00239,2026-03-27 11:20,SYS-0042,Jenn Fowler,field,1427.0,8.3,493.0,,208.0,0.5,11.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00240,2026-03-27 12:00,SYS-0041,Jenn Fowler,field,2666.0,11.2,0.5,603.0,,,,0.15,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00241,2026-03-27 12:10,SYS-0012,Kyle Bishop,field,1521.0,8.4,476.0,,152.0,0.51,11.8,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00242,2026-03-27 13:10,SYS-0011,Kyle Bishop,field,3207.0,11.3,0.3,,,,,0.57,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00243,3/28/26 0:00,SYS-0014,BMS export,bms,2.88,8.7,,,,,,,,,,cond=mS/cm,
RD-00244,3/28/26 0:00,SYS-0015,BMS export,bms,2.71,8.7,,,,,,,,,,cond=mS/cm,
RD-00245,3/28/26 0:00,SYS-0016,BMS export,bms,2.9,,,,,,,,,,,cond=mS/cm,
RD-00246,3/28/26 0:00,SYS-0017,BMS export,bms,2.98,8.7,,,,,,,,,,cond=mS/cm,
RD-00247,3/29/26 0:00,SYS-0014,BMS export,bms,2.86,8.3,,,,,,,,,,cond=mS/cm,
RD-00248,3/29/26 0:00,SYS-0015,BMS export,bms,2.84,8.9,,,,,,,,,,cond=mS/cm,
RD-00249,3/29/26 0:00,SYS-0016,BMS export,bms,2.98,8.9,,,,,,,,,,cond=mS/cm,
RD-00250,3/29/26 0:00,SYS-0017,BMS export,bms,2.94,8.5,,,,,,,,,,cond=mS/cm,
RD-00251,3/30/26 0:00,SYS-0014,BMS export,bms,2.85,8.6,,,,,,,,,,cond=mS/cm,
RD-00252,3/30/26 0:00,SYS-0015,BMS export,bms,2.91,8.8,,,,,,,,,,cond=mS/cm,
RD-00253,3/30/26 0:00,SYS-0016,BMS export,bms,2.7,8.6,,,,,,,,,,cond=mS/cm,
RD-00254,3/30/26 0:00,SYS-0017,BMS export,bms,3.16,,,,,,,,,,,cond=mS/cm,
RD-00255,2026-03-30 08:15,SYS-0005,Jenn Fowler,field,2131.0,9.5,,,,,,0.21,,1049.0,,cond=uS/cm;nitrite=ppm,
RD-00256,2026-03-30 09:20,SYS-0040,Dale Hardy,field,2451.0,11.1,0.1,,,,,0.14,34.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00257,2026-03-30 10:10,SYS-0004,Jenn Fowler,field,1580.0,8.6,365.0,,150.0,0.99,13.1,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00258,2026-03-30 11:00,SYS-0001,Jenn Fowler,field,2815.0,11.1,0.5,639.0,,,,0.19,35.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00259,2026-03-30 11:40,SYS-0002,Jenn Fowler,field,2695.0,11.1,0.6,,,,,0.33,20.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00260,2026-03-30 15:20,SYS-0003,Jenn Fowler,field,1432.0,8.5,354.0,,187.0,0.42,9.9,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00261,3/31/26 0:00,SYS-0014,BMS export,bms,2.93,8.7,,,,,,,,,,cond=mS/cm,
RD-00262,3/31/26 0:00,SYS-0015,BMS export,bms,2.81,8.8,,,,,,,,,,cond=mS/cm,
RD-00263,3/31/26 0:00,SYS-0016,BMS export,bms,2.85,8.6,,,,,,,,,,cond=mS/cm,
RD-00264,3/31/26 0:00,SYS-0017,BMS export,bms,2.92,8.9,,,,,,,,,,cond=mS/cm,
RD-00265,2026-03-31 08:15,SYS-0008,Marcus Webb,field,2788.0,9.3,,,,,,0.12,,975.0,,cond=uS/cm;nitrite=ppm,
RD-00266,2026-03-31 09:20,SYS-0006,Marcus Webb,field,2735.0,11.2,0.0,,,,,0.4,30.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00267,2026-03-31 10:45,SYS-0007,Marcus Webb,field,1671.0,8.4,522.0,,131.0,1.01,13.0,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00268,2026-03-31 14:50,SYS-0010,Marcus Webb,field,1449.0,8.3,392.0,,194.0,0.3,8.5,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00269,2026-03-31 15:45,SYS-0009,Marcus Webb,field,2758.0,11.1,0.2,696.0,,,,0.28,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00270,4/1/26 0:00,SYS-0014,BMS export,bms,2.85,8.7,,,,,,,,,,cond=mS/cm,
RD-00271,4/1/26 0:00,SYS-0015,BMS export,bms,2.81,8.8,,,,,,,,,,cond=mS/cm,
RD-00272,4/1/26 0:00,SYS-0016,BMS export,bms,2.98,,,,,,,,,,,cond=mS/cm,
RD-00273,4/1/26 0:00,SYS-0017,BMS export,bms,2.96,,,,,,,,,,,cond=mS/cm,
RD-00274,2026-04-01 08:50,SYS-0021,Marcus Webb,field,3052.0,11.3,0.1,,,,,0.54,37.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00275,2026-04-01 10:10,SYS-0038,Tomas Rivera,field,1510.0,9.0,438.0,,184.0,0.75,10.3,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00276,2026-04-01 11:20,SYS-0029,Tomas Rivera,field,2434.0,9.4,,,,,188.0,0.11,,,,cond=uS/cm;moly=ppm,
RD-00277,2026-04-01 11:45,SYS-0027,Tomas Rivera,field,2660.0,11.3,0.5,665.0,,,,0.57,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00278,2026-04-01 12:45,SYS-0020,Marcus Webb,field,1266.0,8.7,380.0,,143.0,0.72,13.5,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00279,2026-04-01 12:45,SYS-0028,Tomas Rivera,field,1561.0,8.5,410.0,,208.0,0.69,11.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00280,2026-04-01 13:20,SYS-0053,Kyle Bishop,field,3259.0,11.1,0.7,,,,,0.32,33.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00281,2026-04-01 13:30,SYS-0054,Kyle Bishop,field,2891.0,9.8,,,,,,0.2,,1024.0,,cond=uS/cm;nitrite=ppm,
RD-00282,2026-04-01 13:45,SYS-0039,Tomas Rivera,field,2677.0,9.1,,,,,,0.21,,928.0,,cond=uS/cm;nitrite=ppm,
RD-00283,2026-04-01 14:40,SYS-0037,Tomas Rivera,field,2578.0,11.2,0.3,580.0,,,,0.19,29.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00284,2026-04-01 15:30,SYS-0019,Marcus Webb,field,2292.0,9.6,,,,,,0.65,,890,,cond=uS/cm;nitrite=ppm,Sample drawn before re-dose.
RD-00285,2026-04-01 15:50,SYS-0036,Tomas Rivera,field,2953.0,11.0,0.3,574.0,,,,0.16,27.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00286,4/2/26 0:00,SYS-0014,BMS export,bms,3.01,8.8,,,,,,,,,,cond=mS/cm,
RD-00287,4/2/26 0:00,SYS-0015,BMS export,bms,2.72,,,,,,,,,,,cond=mS/cm,
RD-00288,4/2/26 0:00,SYS-0016,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00289,4/2/26 0:00,SYS-0017,BMS export,bms,3.07,,,,,,,,,,,cond=mS/cm,
RD-00290,2026-04-02 09:00,SYS-0016,Jenn Fowler,field,3153.0,8.6,580.0,,214.0,0.55,17.3,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00291,2026-04-02 09:10,SYS-0015,Jenn Fowler,field,2855.0,8.3,583.0,,194,0.52,16.4,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00292,2026-04-02 10:30,SYS-0017,Jenn Fowler,field,3099.0,8.4,383.0,,259.0,0.53,16.8,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00293,2026-04-02 12:50,SYS-0018,Jenn Fowler,field,3421.0,9.5,,,,,268.0,0.13,,,,cond=uS/cm;moly=ppm,
RD-00294,2026-04-02 14:00,SYS-0025,Dale Hardy,field,3113.0,11.3,0.9,,,,,0.15,28.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00295,2026-04-02 14:20,SYS-0026,Dale Hardy,field,1685.0,8.4,30.1,,160.0,0.55,12.0,,,,,cond=uS/cm;hard=gpg;cl=ppm;inhib=ppm,
RD-00296,2026-04-02 15:30,SYS-0035,Dale Hardy,field,3006.0,10.7,0.4,692.0,,,,0.18,33.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00297,2026-04-02 15:50,SYS-0014,Jenn Fowler,field,2757.0,8.7,424.0,,222.0,0.71,13.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00298,4/3/26 0:00,SYS-0014,BMS export,bms,2.93,8.7,,,,,,,,,,cond=mS/cm,
RD-00299,4/3/26 0:00,SYS-0015,BMS export,bms,2.78,8.5,,,,,,,,,,cond=mS/cm,
RD-00300,4/3/26 0:00,SYS-0016,BMS export,bms,2.94,,,,,,,,,,,cond=mS/cm,
RD-00301,4/3/26 0:00,SYS-0017,BMS export,bms,3.04,,,,,,,,,,,cond=mS/cm,
RD-00302,2026-04-03 12:15,SYS-0042,Jenn Fowler,field,1447.0,8.5,494.0,,220.0,0.68,9.4,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00303,2026-04-03 13:45,SYS-0041,Jenn Fowler,field,2840.0,11.0,0.9,,,,,0.25,27.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00304,2026-04-03 14:20,SYS-0011,Kyle Bishop,field,2645.0,11.3,0.4,743.0,,,,0.24,20.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00305,2026-04-03 14:40,SYS-0012,Kyle Bishop,field,1337.0,8.3,494.0,,180.0,0.6,10.0,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00306,2026-04-03 15:00,SYS-0013,Kyle Bishop,field,2539.0,9.2,,,,,290.0,0.25,,,,cond=uS/cm;moly=ppm,
RD-00307,4/4/26 0:00,SYS-0014,BMS export,bms,2.79,,,,,,,,,,,cond=mS/cm,
RD-00308,4/4/26 0:00,SYS-0015,BMS export,bms,2.91,,,,,,,,,,,cond=mS/cm,
RD-00309,4/4/26 0:00,SYS-0016,BMS export,bms,2.86,9.0,,,,,,,,,,cond=mS/cm,
RD-00310,4/4/26 0:00,SYS-0017,BMS export,bms,3.01,,,,,,,,,,,cond=mS/cm,
RD-00311,4/5/26 0:00,SYS-0014,BMS export,bms,2.9,8.5,,,,,,,,,,cond=mS/cm,
RD-00312,4/5/26 0:00,SYS-0015,BMS export,bms,2.92,,,,,,,,,,,cond=mS/cm,
RD-00313,4/5/26 0:00,SYS-0016,BMS export,bms,2.89,8.6,,,,,,,,,,cond=mS/cm,
RD-00314,4/5/26 0:00,SYS-0017,BMS export,bms,2.81,8.6,,,,,,,,,,cond=mS/cm,
RD-00315,4/6/26 0:00,SYS-0014,BMS export,bms,2.83,8.5,,,,,,,,,,cond=mS/cm,
RD-00316,4/6/26 0:00,SYS-0015,BMS export,bms,2.85,8.7,,,,,,,,,,cond=mS/cm,
RD-00317,4/6/26 0:00,SYS-0016,BMS export,bms,2.95,,,,,,,,,,,cond=mS/cm,
RD-00318,4/6/26 0:00,SYS-0017,BMS export,bms,3.01,8.6,,,,,,,,,,cond=mS/cm,
RD-00319,2026-04-06 09:40,SYS-0033,Kyle Bishop,field,1444.0,10.2,0.5,320.0,,,,0.05,40.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00320,2026-04-06 10:50,SYS-0001,Jenn Fowler,field,3009.0,11.1,0,,,,,0.23,31.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00321,2026-04-06 11:40,SYS-0002,Jenn Fowler,field,3197.0,11.0,0,665.0,,,,0.22,40.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00322,2026-04-06 11:45,SYS-0003,Jenn Fowler,field,1549.0,8.2,397.0,,193.0,0.5,12.6,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00323,2026-04-06 11:45,SYS-0032,Kyle Bishop,field,1326.0,10.2,0.0,368.0,,,,0.34,46.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00324,2026-04-06 11:50,SYS-0022,Dale Hardy,field,3131.0,11.3,0.8,764.0,,,,0.23,25,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00325,2026-04-06 12:20,SYS-0034,Kyle Bishop,field,1611.0,8.6,511.0,,193.0,0.56,12.8,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00326,2026-04-06 14:15,SYS-0005,Jenn Fowler,field,3099.0,9.3,,,,,,0.14,,902.0,,cond=uS/cm;nitrite=ppm,
RD-00327,2026-04-06 14:45,SYS-0004,Jenn Fowler,field,1571.0,8.4,516.0,,92.0,0.63,11.6,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00328,4/7/26 0:00,SYS-0014,BMS export,bms,2.87,,,,,,,,,,,cond=mS/cm,
RD-00329,4/7/26 0:00,SYS-0015,BMS export,bms,2.68,,,,,,,,,,,cond=mS/cm,
RD-00330,4/7/26 0:00,SYS-0016,BMS export,bms,3.05,,,,,,,,,,,cond=mS/cm,
RD-00331,4/7/26 0:00,SYS-0017,BMS export,bms,2.95,8.6,,,,,,,,,,cond=mS/cm,
RD-00332,2026-04-07 09:40,SYS-0043,Marcus Webb,field,1497.0,8.7,502.0,,87.0,0.62,9.8,,,,,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00333,2026-04-07 10:10,SYS-0044,Marcus Webb,field,2682.0,9.6,,,,,206.0,0.23,,,,cond=uS/cm;moly=ppm,
RD-00334,2026-04-07 10:20,SYS-0008,Marcus Webb,field,2507.0,9.5,,,,,,0.27,,1091.0,,cond=uS/cm;nitrite=ppm,
RD-00335,2026-04-07 11:45,SYS-0006,Marcus Webb,field,3095.0,11.4,0.3,,,,,0.41,34.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00336,2026-04-07 13:20,SYS-0007,Marcus Webb,field,1645.0,8.3,365.0,,146.0,0.66,12.1,,,,10^3,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00337,4/8/26 0:00,SYS-0014,BMS export,bms,2.83,8.8,,,,,,,,,,cond=mS/cm,
RD-00338,4/8/26 0:00,SYS-0015,BMS export,bms,2.84,8.4,,,,,,,,,,cond=mS/cm,
RD-00339,4/8/26 0:00,SYS-0016,BMS export,bms,2.76,,,,,,,,,,,cond=mS/cm,
RD-00340,4/8/26 0:00,SYS-0017,BMS export,bms,3.01,8.6,,,,,,,,,,cond=mS/cm,
RD-00341,2026-04-08 09:50,SYS-0029,Tomas Rivera,field,2813.0,9.7,,,,,276.0,0.28,,,,cond=uS/cm;moly=ppm,
RD-00342,2026-04-08 10:30,SYS-0027,Tomas Rivera,field,2743.0,11.0,1.1,695.0,,,,0.23,32.0,,,cond=uS/cm;hard=ppm CaCO3;alk=ppm CaCO3;sulfite=ppm,
RD-00343,2026-04-08 11:40,SYS-0028,Tomas Rivera,field,1526.0,8.9,453.0,,171.0,0.54,11.7,,,,10^2,cond=uS/cm;hard=ppm CaCO3;cl=ppm;inhib=ppm,
RD-00344,4/9/26 0:00,SYS-0014,BMS export,bms,2.9,8.7,,,,,,,,,,cond=mS/cm,
