visit_id,visit_date,technician,customer_id,facility_id,systems_serviced,work_performed,chemicals_added,visit_status,follow_up_date,observations
V-0094,2026-04-23,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 3 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,Chemical pumps primed and verified.
V-0095,2026-04-24,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,,Chemical pumps primed and verified.
V-0096,2026-04-24,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,,No issues noted.
V-0097,2026-04-27,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal; CT-770 5 gal; BIO-12 1 gal,completed,,Chemical pumps primed and verified.
V-0098,2026-04-27,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal,completed,2026-05-27,"Bleed valve cycled manually, operating normally."
V-0099,2026-04-28,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal; CL-40 2 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0100,2026-04-28,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; CT-770 6 gal; BIO-12 1 gal,completed,,All parameters in range.
V-0101,2026-04-28,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Callout: boiler low-water cutoff trip, reset and tested controls",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,,
V-0102,2026-04-29,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Full site service: loop sample and inhibitor top-up as needed,CL-40 8 gal; CT-770 5 gal; BIO-12 1 gal; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt,completed,,"Bleed valve cycled manually, operating normally."
V-0103,2026-04-29,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,2026-05-13,All parameters in range.
V-0104,2026-04-29,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal; CL-40 2 gal,completed,,"Site contact unavailable, report left at office."
V-0105,2026-04-30,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-785 4 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal; CT-785 4 gal; BIO-12 1 gal; CT-785 6 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,
V-0106,2026-04-30,Dale Hardy,CUST-0007,F-0009,SYS-0025;SYS-0026,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; CT-770 4 gal; BIO-12 1 gal,completed,2026-05-14,
V-0107,2026-05-01,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; CT-770 4 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,Chemical pumps primed and verified.
V-0108,2026-05-01,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,
V-0109,2026-05-04,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb; CT-770 6 gal; BRM-40 5 lb,completed,,
V-0110,2026-05-04,Dale Hardy,CUST-0006,F-0007,SYS-0022,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal,completed,2026-06-03,No issues noted.
V-0111,2026-05-04,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0112,2026-05-05,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb; CL-40 1 gal,completed,2026-05-12,
V-0113,2026-05-05,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-770 3 gal; BRM-40 5 lb,completed,,Housekeeping around feed area needs attention.
V-0114,2026-05-06,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,Left updated log sheet with operator.
V-0115,2026-05-06,Kyle Bishop,CUST-0022,F-0025,SYS-0053;SYS-0054,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CL-40 1 gal,completed,,
V-0116,2026-05-07,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-785 6 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 3 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb,completed,,"Bleed valve cycled manually, operating normally."
V-0117,2026-05-07,Dale Hardy,CUST-0011,F-0013,SYS-0035,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt,completed,,
V-0118,2026-05-08,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0119,2026-05-08,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0120,2026-05-11,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal; CT-770 5 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,
V-0121,2026-05-11,Jenn Fowler,CUST-0006,F-0008,SYS-0023;SYS-0024,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal,completed,,Chemical pumps primed and verified.
V-0122,2026-05-11,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,
V-0123,2026-05-12,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal; CL-40 2 gal,completed,,All parameters in range.
V-0124,2026-05-12,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 2 gal; CT-770 5 gal; BIO-12 1 gal,completed,,"Site contact unavailable, report left at office."
V-0125,2026-05-12,Dale Hardy,CUST-0020,F-0023,SYS-0051,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt,completed,,No issues noted.
V-0126,2026-05-13,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,"Full site service: tested loop, checked pot feeder, dosed inhibitor",CL-40 9 gal; CT-770 5 gal; BIO-12 1 gal; BW-210 2 gal; BW-305 1 gal,completed,,Chemical pumps primed and verified.
V-0127,2026-05-13,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0128,2026-05-13,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 2 gal; BW-210 2 gal; BW-305 1 gal; CT-770 5 gal; BIO-12 1 gal; CL-40 2 gal,completed,,
V-0129,2026-05-14,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-785 6 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0130,2026-05-14,Dale Hardy,CUST-0007,F-0009,SYS-0025;SYS-0026,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,No issues noted.
V-0131,2026-05-14,Dale Hardy,CUST-0009,F-0011,SYS-0030;SYS-0031,Loop sample and inhibitor top-up as needed,CL-40 1 gal; CT-770 5 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0132,2026-05-15,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,
V-0133,2026-05-15,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,Chemical pumps primed and verified.
V-0134,2026-05-18,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb; CT-770 3 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,"Site contact unavailable, report left at office."
V-0135,2026-05-18,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; BW-210 1 gal; BW-305 1 gal; CT-770 5 gal; BRM-40 5 lb,completed,2026-06-17,"Site contact unavailable, report left at office."
V-0136,2026-05-18,Kyle Bishop,CUST-0021,F-0024,SYS-0052,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal,completed,,
V-0137,2026-05-19,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,,
V-0138,2026-05-19,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: routine tower service: tests, biocide rotation, sump inspection",CT-770 5 gal; BRM-40 5 lb,completed,,
V-0139,2026-05-19,Jenn Fowler,CUST-0017,F-0019,SYS-0047;SYS-0048,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0140,2026-05-20,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,,No issues noted.
V-0141,2026-05-21,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: tested tower, adjusted bleed setpoint, dosed treatment",CT-785 3 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CL-M40 1 gal,completed,,All parameters in range.
V-0142,2026-05-21,Dale Hardy,CUST-0016,F-0018,SYS-0046,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,2026-06-20,Chemical pumps primed and verified.
V-0143,2026-05-22,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0144,2026-05-22,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb,completed,2026-06-05,No issues noted.
V-0145,2026-05-25,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal; CT-770 3 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0146,2026-05-25,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,All parameters in range.
V-0147,2026-05-26,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal; CL-40 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0148,2026-05-26,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal,completed,,
V-0149,2026-05-27,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Full site service: loop sample and inhibitor top-up as needed,CL-40 10 gal; CT-770 5 gal; BIO-12 1 gal; BW-210 3 gal; BW-305 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0150,2026-05-27,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal,completed,,
V-0151,2026-05-27,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0152,2026-05-27,Tomas Rivera,CUST-0018,F-0020,SYS-0049;SYS-0050,"Condenser water tests, dosed treatment, checked spray coverage",CT-770 5 gal; BIO-12 1 gal; CT-770 5 gal; BIO-12 1 gal,completed,,Left updated log sheet with operator.
V-0153,2026-05-28,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: routine tower service: tests, biocide rotation, sump inspection",CT-785 3 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal; CT-785 6 gal; BIO-12 1 gal; CT-785 5 gal; BIO-12 1 gal,completed,,All parameters in range.
V-0154,2026-05-28,Dale Hardy,CUST-0019,F-0022,SYS-0025;SYS-0026,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; CT-770 5 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0155,2026-05-29,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 2 gal; CT-770 4 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,
V-0156,2026-05-29,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0157,2026-05-31,Dale Hardy,CUST-0016,F-0018,SYS-0046,"Descaled brewhouse boiler sight glass, tests, dosing",BW-210 2 gal; BW-305 1 gal,completed,2026-06-30,
V-0158,2026-06-01,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; BW-210 3 gal; BW-305 1 gal; CT-770 4 gal; BRM-40 5 lb; CT-770 5 gal; BRM-40 5 lb,completed,,
V-0159,2026-06-01,Dale Hardy,CUST-0006,F-0007,SYS-0022,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal,completed,2026-06-08,"Sulfite low at 12 ppm, dosing pump output erratic. Bumped stroke, monitor."
V-0160,2026-06-01,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,2026-06-15,
V-0161,2026-06-02,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,,
V-0162,2026-06-02,Marcus Webb,CUST-0015,F-0017,SYS-0043;SYS-0044;SYS-0045,"Full site service: tower water tests, dosed inhibitor and biocide, checked bleed valve",CT-770 6 gal; BRM-40 5 lb,completed,,All parameters in range.
V-0163,2026-06-03,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 5 gal; BRM-40 5 lb,completed,,"Site contact unavailable, report left at office."
V-0164,2026-06-03,Kyle Bishop,CUST-0022,F-0025,SYS-0053;SYS-0054,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 1 gal,completed,,
V-0165,2026-06-04,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: routine tower service: tests, biocide rotation, sump inspection",CT-785 4 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 5 gal; BRM-40 5 lb; CT-785 6 gal; BRM-40 5 lb; CL-M40 1 gal,completed,2026-07-04,
V-0166,2026-06-04,Dale Hardy,CUST-0011,F-0013,SYS-0035,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal,completed,,"Bleed valve cycled manually, operating normally."
V-0167,2026-06-05,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BRM-40 5 lb,completed,,
V-0168,2026-06-05,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; CT-770 3 gal; BRM-40 5 lb,completed,2026-07-05,
V-0169,2026-06-08,Jenn Fowler,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; BW-210 2 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal; CT-770 5 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,
V-0170,2026-06-08,Dale Hardy,CUST-0013,F-0015,SYS-0040,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,2026-06-22,Chemical pumps primed and verified.
V-0171,2026-06-09,Marcus Webb,CUST-0002,F-0002,SYS-0006;SYS-0007;SYS-0008,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 2 gal; BW-305 1 gal; CT-770 5 gal; BIO-12 1 gal; CL-40 1 gal,completed,,
V-0172,2026-06-09,Marcus Webb,CUST-0002,F-0003,SYS-0009;SYS-0010,"Tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal,completed,2026-07-09,
V-0173,2026-06-09,Dale Hardy,CUST-0020,F-0023,SYS-0051,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt,completed,,
V-0174,2026-06-10,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,Full site service: loop sample and inhibitor top-up as needed,CL-40 11 gal; CT-770 6 gal; BIO-12 1 gal; BW-210 1 gal; BW-305 1 gal,completed,2026-06-12,"Makeup meter on closed loop read 38,940 (up 3,850 since last visit). Loop should not take makeup. Flagged to plant engineer."
V-0175,2026-06-10,Tomas Rivera,CUST-0008,F-0010,SYS-0027;SYS-0028;SYS-0029,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 2 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal,completed,,
V-0176,2026-06-10,Tomas Rivera,CUST-0012,F-0014,SYS-0036;SYS-0037;SYS-0038;SYS-0039,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 1 gal; BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 3 gal; BIO-12 1 gal,completed,,Chemical pumps primed and verified.
V-0177,2026-06-11,Jenn Fowler,CUST-0004,F-0005,SYS-0014;SYS-0015;SYS-0016;SYS-0017;SYS-0018,"Full site service: routine tower service: tests, biocide rotation, sump inspection",CT-785 6 gal; BIO-12 1 gal; CT-785 3 gal; BIO-12 1 gal; CT-785 6 gal; BIO-12 1 gal; CT-785 6 gal; BIO-12 1 gal,completed,,Chemical pumps primed and verified.
V-0178,2026-06-11,Dale Hardy,CUST-0007,F-0009,SYS-0025;SYS-0026,"Boiler water and condensate tests, dosed treatment, checked softener",BW-210 3 gal; BW-305 1 gal; AM-115 1 qt; CT-770 6 gal; BIO-12 1 gal,completed,,Housekeeping around feed area needs attention.
V-0179,2026-06-11,Dale Hardy,CUST-0009,F-0011,SYS-0030;SYS-0031,"Tested loop, checked pot feeder, dosed inhibitor",CT-770 4 gal; BIO-12 1 gal,completed,2026-06-25,
V-0180,2026-06-12,Kyle Bishop,CUST-0003,F-0004,SYS-0011;SYS-0012;SYS-0013,"Full site service: tested boiler and feedwater, adjusted chemical feed, bottom blowdown",BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BIO-12 1 gal; CL-M40 1 gal,completed,,Housekeeping around feed area needs attention.
V-0181,2026-06-12,Marcus Webb,CUST-0005,F-0006,SYS-0019;SYS-0020;SYS-0021,"Callout: closed loop pressure loss, inspected visible piping, logged makeup meter",CL-40 6 gal; CT-770 6 gal; BIO-12 1 gal; BW-210 2 gal; BW-305 1 gal; AM-115 1 qt,completed,,"No visible leaks in mechanical room or trench. Makeup meter 39,210. Suspect underground section near loading dock. Opened work order."
V-0182,2026-06-12,Jenn Fowler,CUST-0014,F-0016,SYS-0041;SYS-0042,"Routine boiler service: tests, chemical dosing, blowdown check",BW-210 3 gal; BW-305 2 gal; CT-770 6 gal; BIO-12 1 gal,completed,,No issues noted.
V-0183,2026-06-15,Tomas Rivera,CUST-0001,F-0001,SYS-0001;SYS-0002;SYS-0003;SYS-0004;SYS-0005,"Full site service: routine boiler service: tests, chemical dosing, blowdown check",BW-210 1 gal; BW-305 2 gal; AM-115 1 qt; BW-210 3 gal; BW-305 2 gal; AM-115 1 qt; CT-770 4 gal; BRM-40 5 lb; CT-770 6 gal; BRM-40 5 lb,completed,,
V-0184,2026-06-15,Kyle Bishop,CUST-0010,F-0012,SYS-0032;SYS-0033;SYS-0034,"Full site service: boiler water and condensate tests, dosed treatment, checked softener",BW-210 2 gal; BW-305 1 gal; BW-210 2 gal; BW-305 1 gal; CT-770 4 gal; BRM-40 5 lb,completed,,
V-0185,2026-06-15,Kyle Bishop,CUST-0021,F-0024,,,,missed - rescheduled,,Rescheduled with site contact.
